Size,Series,Vendor,Brand,Color,Cost per Foot,Image
1x6,Trex Enhance Basics,Boise,Trex,Clam Shell,1.89,
1x6,Trex Enhance Basics,Boise,Trex,Saddle,1.89,
1x6,Trex Enhance Basics,Boise,Trex,Tide Pool,1.82,
1x6,Trex Enhance Basics,Boise,Trex,Beach Dune,1.82,
1x6,Trex Enhance Naturals,Boise,Trex,Rocky Harbor,2.6,
1x6,Trex Enhance Naturals,Boise,Trex,Toasted Sand,2.6,
1x6,Trex Enhance Naturals,Boise,Trex,Coastal Bluff,2.6,
1x6,Trex Enhance Naturals,Boise,Trex,Foggy Wharf,2.5,
1x6,Trex Enhance Naturals,Boise,Trex,Cinnamon Cove,2.5,
1x6,Trex Enhance Naturals,Boise,Trex,Honey Grove,2.5,
1x6,Trex Select,Boise,Trex,Pebble Grey,4.11,
1x6,Trex Select,Boise,Trex,Saddle,4.11,
1x6,Trex Select,Boise,Trex,Malted Barley,4.11,
1x6,Trex Select,Boise,Trex,Millstone,4.11,
1x6,Trex Select,Boise,Trex,Whiskey Barrel,4.11,
1x6,Trex Transcend,Boise,Trex,Rope Swing,5.46,
1x6,Trex Transcend,Boise,Trex,Lava Rock,5.46,
1x6,Trex Transcend,Boise,Trex,Tiki Torch,5.46,
1x6,Trex Transcend,Boise,Trex,Spiced Rum,5.46,
1x6,Trex Transcend,Boise,Trex,Havana Gold,5.46,
1x6,Trex Transcend,Boise,Trex,Island Mist,5.46,
1x6,Trex Transcend,Boise,Trex,Rainier,5.46,
1x6,Trex Transcend,Boise,Trex,Biscayne,5.46,
1x6,Trex Transcend,Boise,Trex,Jasper,5.46,
1x6,Trex Transcend,Boise,Trex,Carmel,5.46,
1x6,Trex Transcend,Boise,Trex,Salt Flat,5.46,
1x6,Trex Transcend,Boise,Trex,Hatteras,5.46,
1x6,Trex Signature,Boise,Trex,Ocracoke,7.79,
1x6,Trex Signature,Boise,Trex,Whidbey,7.79,/images/deckcolors/Whidbey.jpg
1x6,Vintage Collection,Weyerhaeuser,TimberTech,Cypress,$5.41,/images/deckcolors/cypress.jpg
1x6,Vintage Collection,Weyerhaeuser,TimberTech,Coastline,$5.41,/images/deckcolors/coastline.jpg
1x6,Vintage Collection,Weyerhaeuser,TimberTech,Dark Hickory,$5.41,/images/deckcolors/darkhickory.jpg
1x6,Vintage Collection,Weyerhaeuser,TimberTech,English Walnut,$5.41,/images/deckcolors/englishwalnut.jpg
1x6,Vintage Collection,Weyerhaeuser,TimberTech,Mahogany,$5.41,/images/deckcolors/mahogany.jpg
1x6,Vintage Collection,Weyerhaeuser,TimberTech,Weathered Teak,$5.41,/images/deckcolors/weatheredteak.jpg
1x6,Landmark Collection ,Weyerhaeuser,TimberTech,American Walnut,$4.78,
1x6,Landmark Collection ,Weyerhaeuser,TimberTech,Boardwalk,$4.78,
1x6,Landmark Collection ,Weyerhaeuser,TimberTech,Castle Gate,$4.78,
1x6,Landmark Collection ,Weyerhaeuser,TimberTech,French White Oak,$4.78,/images/deckcolors/FrenchWhiteOak.jpg
1x6,Reserve Collection ,Weyerhaeuser,TimberTech,Driftwood,$4.16,
1x6,Reserve Collection ,Weyerhaeuser,TimberTech,Antique Leather,$4.16,/images/deckcolors/AntiqueLeather.jpg
1x6,Reserve Collection ,Weyerhaeuser,TimberTech,Dark Roast,$4.16,
1x6,Reserve Collection ,Weyerhaeuser,TimberTech,Reclaimed Chestnut,$4.16,/images/deckcolors/ReclaimedChestnut.jpg
1x6,Reserve Collection Plank,Weyerhaeuser,TimberTech,Storm Gray,$4.16,
1x6,Legacy Collection Plank,Weyerhaeuser,TimberTech,Ashwood,$5.00,
1x6,Legacy Collection Plank,Weyerhaeuser,TimberTech,Espresso,$5.00,
1x6,Legacy Collection Plank,Weyerhaeuser,TimberTech,Mocha,$5.00,
1x6,Legacy Collection Plank,Weyerhaeuser,TimberTech,Pecan,$5.00,
1x6,Legacy Collection Plank,Weyerhaeuser,TimberTech,Tigerwood,$5.00,/images/deckcolors/tigerwood.jpg
1x6,Legacy Collection Plank,Weyerhaeuser,TimberTech,Whitewashed Cedar,$5.00,
1x6,Terrain Collection Plank,Weyerhaeuser,TimberTech,Brown Oak,$2.88,
1x6,Terrain Collection Plank,Weyerhaeuser,TimberTech,Silver Maple,$2.88,
1x6,Terrain Plus Deck Boards,Weyerhaeuser,TimberTech,Dark Oak,$2.88,
1x6,Terrain Plus Deck Boards,Weyerhaeuser,TimberTech,Natural White Oak,$2.88,/images/deckcolors/NaturalWhiteOak.jpg
1x6,Terrain Plus Deck Boards,Weyerhaeuser,TimberTech,Weathered Oak,$2.88,
1x6,Prime Plus Collection,Weyerhaeuser,TimberTech,Charcoal,$2.29,
1x6,Prime Plus Collection,Weyerhaeuser,TimberTech,Sea Salt Gray,$2.29,
1x6,Prime Plus Collection,Weyerhaeuser,TimberTech,Coconut Husk,$2.29,/images/deckcolors/CoconutHusk.jpg

